[76 72 70 57 72 53 61 52 58 65 59 52 63 53 70 55 67 48 52 72 50 54 68 58
 74 48 60 60 54 65 54 57 63 70 67 51 47 48 63 72 62 68 65 68 63 67 62 75
 51 61 59 70 57 68 72 70 69 56 58 63 50 56 66 56 57 57 63 66 72 58 61 77
 72 69 66 70 60 47 60 76 62 51 72 49 69 64 50 73 73 71 54 74 66 58 55 70
 66 74 68 65 64 68 65 50 65 59 49 60 65 67 69 49 59 44 61 41 55 58 56 68
 61 56 58 68 60 48 55 60 65 50 62 63 64 68 42 77 55 51 48 67 46 77 71 63
 76 50 71 58 76 47 57 60 60 48 66 63 68 64 58 68 56 61 66 70 66 64 57 84
 51 62 60 55 61 46 76 65 72 79 52 53 60 60 57 81 65 51 69 61 50 62 57 48
 65 68 79 61 70 72 78 64 70 69 69 60 65 51 63 59 69 46 48 76 63 51 59 51
 55 59 70 62 58 71 58 70 63 79 57 60 62 71 61 55 59 60 54 71 67 52 61 63
 71 66 59 60 61 69 67 69 58 56]
The transmit rate is 16.0
205.005645	6	1
203.067779	6	2
226.798057	6	3
204.611301	6	24
210.478067	6	25
241.651296	6	26
272.947549	6	28
367.513895	6	27
422.131299	6	29
421.990394	6	30
310.736656	6	33
441.636085	6	32
541.482210	6	31
492.925882	6	34
526.477575	6	36
478.293895	6	37
502.187728	6	38
653.089523	6	35
416.472911	6	40
430.445909	6	41
737.891912	6	39
598.073720	6	42
533.018112	6	43
2935.95337	16	4
500.682353	6	44
531.906127	6	46
666.765451	6	45
3007.23934	16	8
632.307291	6	47
3006.99424	16	9
475.878000	6	50
640.191555	6	49
533.708810	6	51
507.968425	6	52
756.903886	6	48
3447.78537	16	6
568.263530	6	53
503.896236	6	54
3533.34259	16	5
3163.38729	16	12
3276.48782	16	11
3291.17131	16	13
3289.68405	16	14
3675.27103	16	10
199.220895	6	67
3467.14353	16	15
209.968090	6	68
3515.72680	16	16
4054.58617	16	7
3422.47986	16	18
3485.41140	16	17
207.756042	6	70
270.442724	6	69
3498.47555	16	20
3597.93329	16	19
350.531339	6	71
221.482992	6	74
359.463930	6	73
444.745063	6	72
347.637653	6	75
479.887723	6	76
439.768552	6	77
394.244909	6	79
523.739814	6	78
4075.79731	16	23
482.067823	6	80
433.963537	6	81
4285.03060	16	22
407.806634	6	83
4415.00091	16	21
591.234922	6	82
419.793844	6	87
563.703060	6	85
532.140493	6	86
679.604530	6	84
2276.63493	16	62
601.845264	6	88
514.269113	6	90
632.865428	6	89
2852.61416	16	55
2658.71810	16	58
538.950443	6	92
2586.02714	16	61
2704.48136	16	59
455.805063	6	94
2343.18494	16	66
2951.74598	16	56
710.881948	6	91
2902.28581	16	57
2750.73313	16	60
2467.93246	16	65
664.930343	6	93
2634.61732	16	63
2582.07559	16	64
468.369007	6	97
555.394887	6	96
637.054204	6	95
526.996135	6	98
495.288133	6	99
452.095270	6	100
207.444667	6	119
213.593721	6	120
225.402355	6	121
268.261909	6	122
356.276512	6	123
